No,Nama tempat,kabupaten kota,kategori,latitude,longitude,Fasilitas,rating,Foto
1,Air Terjun Cengkaan,Lampung Barat,wisata alam,-4.982661,104.439636,"Parkir, Toilet, Mushola, Restoran",4.2,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSySizF7lV_tICKFA2nbGdDpG1cB51vNuVyzJcYihI9eHVKlziTFIZGqaBqnToMkXVjrHa14usfjzDJUBEKATkqhYdHmvRUIj3ZB-aqpfjd3rf-gIQ0YIhTju-WIJdopGRKOoda8NQ=s680-w680-h510-rw
2,Air Terjun Semantung,Lampung Barat,wisata alam,-5.027573,104.442844,Parkir,4.7,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy0ZHuV9dJfG_3ukg2kEtxkqSuKcXww39VbIKo5NJiHnQTFuVGZIeGLvPjx_IBEA1em0Of-G-zScIoqm4LYxp0H8dVgUpPLkm52Znxqv7E6e1SqqXinJHxwW6-yHmczOS8hU4lQ9g=s680-w680-h510-rw
3,Curug Gimo,Lampung Barat,wisata alam,-5.134218,104.378831,"Parkir, Toilet, Restoran",4.8,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSYJk3rwURmnVonppzQlcQurae23bxuVTBJZg&s
4,Curug Tresno,Lampung Barat,wisata alam,-4.994822,104.297743,"Parkir, Toilet, Restoran",4.1,https://sisparnas.kemenpar.go.id/imgdata/690210.jpg
5,Danau Asam Suoh,Lampung Barat,wisata alam,-4.911030,103.633661,"Parkir, Toilet, Mushola, Restoran",4.1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTVHcPpa7e4uFjvIbY6P5tk0A1Bd5GxBiCdUA&s
6,Desa Wisata datar petay pekon mutar alam,Lampung Barat,wisata alam,-5.054806,104.394308,"Parkir, Toilet, Mushola, Restoran",5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRUAmJlEbQs6hNbZwd0DNd9I1tLJomY0lEafA&s
7,Kampung Kopi Rigis Jaya,Lampung Barat,wisata alam,-5.057376,104.4316282,"Parkir, Toilet, Mushola, Restoran",4.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQKKnvhqP269YHolWw-TzfOz__JCSQkUMR5BQ&s
8,Obyek Wisata Alam kubu perahu Taman Nasional Bukit barisan Selatan,Lampung Barat,wisata alam,-5.070760,104.041484,"Parkir, Toilet, Mushola, Restoran",4.4,https://sisparnas.com/imgdata/692090.jpg
9,Pinus Eco Park,Lampung Barat,wisata alam,-4.982977,104.4951591,"Parkir, Toilet, Mushola, Restoran",4.3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQP1VLtF5V9UNoQh_QofnH235R6ODtwCdgwTw&s
10,Pokdarwis Peduli Seminung,Lampung Barat,wisata alam,-4.911111,103.942734,"Parkir, Toilet, Mushola, Restoran",,https://sisparnas.com/imgdata/688700.jpg
11,Puncak jaya Manggala,Lampung Barat,wisata alam,-5.018575,104.231156,"Parkir, Toilet, Restoran",4.4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ-CccJiMJ-wghSSenYWZUntJRMTE77-yXzGg&s
12,Taman Haruma,Lampung Barat,wisata alam,-4.999244,104.491812,"Parkir, Toilet, Mushola, Restoran",4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHb0xNgTPBWSyFBGLOVqWI4dJsHAW1Ac9Klg&s
13,Taman segar sari,Lampung Barat,wisata alam,-5.025913,104.291742,"Parkir, Toilet, Mushola, Restoran",5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcREyejLThIZHt_uglw5nhLjQScYqFxjJsy5TA&s
14,TAMAN WISATA CURUP PADAE,Lampung Barat,wisata alam,-5.054806,104.394308,"Parkir, Toilet, Mushola, Restoran",4.4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRfrb9_xOOLWAI8uDYuc5pxMQeyrVLJ0iJxEA&s
15,Temiangan hill,Lampung Barat,wisata alam,-5.122379,104.4399699,"Parkir, Toilet, Mushola, Restoran",4.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSTDJfseKD6_Ntk4HFgKd8Byp2Spyjd36KOZw&s
16,WAY BESAI RAFTING,Lampung Barat,wisata alam,-5.026805,104.423395,"Parkir, Toilet, Mushola, Restoran",4.6,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRN9IJYY690t5pdV6Ky6dH8z4siMgo9TPw8NQ&s
17,Wisata alam batu langit,Lampung Barat,wisata alam,-5.019323,104.4632196,"Parkir, Toilet, Mushola, Restoran",4.3,https://wartaniaga.id/wp-content/uploads/2021/09/IMG-20210902-WA0000-280x210.jpg
18,Reendjana Park,Lampung Barat,wisata buatan,-5.055475,104.3150076,"Parkir, Toilet, Mushola, Restoran",3.8,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSI7tY1Q7bouIK9dxzoXDtEkTYAZsDKHSzoOQ&s
19,Sekolah kopi,Lampung Barat,wisata buatan,-5.027076,104.426773,"Parkir, Toilet, Mushola, Restoran",4.6,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRrGLQInNz-qn2l-I2wqnOvKS7xaEs9polxZw&s
20,Waterboom berlian muda,Lampung Barat,wisata buatan,-4.919369,104.014931,"Parkir, Toilet, Mushola, Restoran",4.3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR7Jqvgi_yVQAVzlHv4b6rNs592CSBjzudgvg&s
21,WATERBOOM USAHA MUDA,Lampung Barat,wisata buatan,-5.008894,104.4714808,"Parkir, Toilet, Mushola, Restoran",4.3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR2--IZgO7NvBZh66z5FBOFCOBYra1VO1FRGA&s
22,Desa wisata bali dharma Kerti ( kampung Bali),Lampung Barat,wisata budaya,-5.084977,104.365943,"Parkir, Toilet, Restoran",4.6,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_Q8KWt3LCj_VaxWO7btXk43hR5VNS-X3P7A&s
23,Situs megalitikum Batu brak,Lampung Barat,wisata budaya,-5.052080,104.5306015,"Parkir, Toilet, Restoran",4.4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ-KlaAmLa1M8YEIdGDxF9hN5Co4i9AQfD9Iw&s
24,BUMI PERKEMAHAN SUKARAJA,Lampung Barat,wisata buatan,-5.041648,104.362718,"Parkir, Toilet, Mushola, Restoran",4.8,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSBtYaXnE3AnMgrrW9Wg2W_0DLUzQnw5mTprg&s
25,KEBUN RAYA LIWA,Lampung Barat,wisata buatan,-5.038085,104.0762154,"Parkir, Toilet, Mushola, Restoran",4.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRZck1VQPN0TitAtM6iHVfmpM-DwvdkQ5nFKA&s
26,Kolam Renang Galih Permai,Lampung Barat,wisata buatan,-5.022779,104.0833018,"Parkir, Toilet, Mushola, Restoran",4.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR3oHPGuYvkcMqDMtfs-QXiWGR5agtWe3l40Q&s
27,KOLAM RENANG ALAMI WAY SINDA,Lampung Barat,wisata buatan,-5.046320,104.0701054,"Parkir, Toilet, Restoran",4.2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT1iDGMgE_tLJXDNlbrkNvJwqeF8P9Mtw-aBg&s
28,REST AREA PUNCAK SUMBER JAYA,Lampung Barat,wisata lainnya,-5.027539,104.4478057,"Parkir, Toilet, Mushola, Restoran",4.6,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT7XzMtDckG_ABL7EVKoLXL7S3ZIjoG4ius6Q&s
29,WISATA CAI KAHURIPAN,Lampung Barat,wisata alam,-5.030773,104.4157161,"Parkir, Toilet, Mushola, Restoran",4.3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSqxU3W98yNIXVNVLkf1jLoj2l3JQKEMW2Lew&s
30,CURUG KHAJA SAKA,Lampung Selatan,wisata alam,-5.858819,105.7217564,"Parkir, Toilet, Mushola, Restoran",4.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRZ30djpCnnDKpjUcAO5QRxy5R1xZMfswYNLw&s
31,AIR TERJUN WAY KALAM,Lampung Selatan,wisata alam,-5.762639,105.664525,"Parkir, Toilet, Mushola, Restoran",4.6,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHdPL_FshsswPrssuSgnrEv_rNtGGiiE5LMw&s
32,Alau Alau Resort,Lampung Selatan,wisata alam,-5.699881,105.5594091,"Parkir, Toilet, Mushola, Restoran",4.1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRz3JzHEjBWmffEq0Pg92r0l_wy4lL2tHd3eA&s
33,ARANG GRILL & BEACH,Lampung Selatan,wisata alam,-5.674847,105.5107858,"Parkir, Toilet, Mushola",4.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTmGOK3Qn3IrW9LEyu-hKvK4i1TT-zr7YtsCA&s
34,AURORA BEACH,Lampung Selatan,wisata alam,-5.713227,105.573292,"Parkir, Toilet, Mushola, Restoran",4.6,https://jelambu.com/storage/thumbnail/01K1RAVMSAP3RHFWNG4YAQE6K3.jpg
35,BUKIT PEMATANG SUNRISE,Lampung Selatan,wisata alam,-5.870018,105.7265486,"Parkir, Toilet, Mushola, Restoran",4.4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRJzMArMruh7BiVATHb3HUi5AwMqrLuYOo-1w&s
36,DAYN WATERBOOM,Lampung Selatan,wisata buatan,-5.682940,105.5300056,"Parkir, Toilet, Mushola, Restoran",4.1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS4V1lj3_EXp7_mWdoROf4_zgdbXoywvcg1bw&s
37,Desa Wisata Kunjir,Lampung Selatan,wisata buatan,-5.829441,105.6354093,"Parkir, Toilet, Mushola, Restoran",4.4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTuRU3YgrnAu-XLYgdWi4Z-DJ66LfncEXNrEQ&s
38,KALIANDA BEACH,Lampung Selatan,wisata alam,-5.727599,105.5849943,"Parkir, Toilet, Mushola, Restoran",4.7,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS2zsOf6egQkG-lmbRp7IMOBcV-6hPxRZm4Hw&s
39,Kolam Renang Sumber Air Terjun,Lampung Selatan,wisata buatan,-5.233931,105.169757,"Parkir, Toilet, Mushola, Restoran",4.3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSXpFX0dFY3M4YStqeJ5OoZ-dvYLp2cqHEosg&s
40,MBeach,Lampung Selatan,wisata alam,-5.666893,105.5416095,"Parkir, Toilet, Mushola, Restoran",4.2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQRw9t1DY4MN0OOKslhC0DfGsWLER61g46Dew&s
41,PANTAI ARUNA,Lampung Selatan,wisata alam,-5.667372,105.5452971,"Parkir, Toilet, Mushola",4.4,https://radarlampung.bacakoran.co/upload/5ed8848e3e88185cdd3cda0b63a9981b.jpeg
42,PANTAI BAGUS BEACH WALK,Lampung Selatan,wisata alam,-5.667398,105.5546159,"Parkir, Toilet, Mushola, Restoran",4.4,https://pariwisatalamsel.com/assets/uploads/berita/20250410213911_bagus-beach-walk-salah-satu-pantai-favorit.jpg
43,PANTAI BELEBUK,Lampung Selatan,wisata alam,-5.847377,105.6979815,"Parkir, Toilet, Mushola, Restoran",4.3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRCQ6qmiFaSa-a-I1tEXMcb7AsVQSMdJQKZOg&s
44,PANTAI CEMARA,Lampung Selatan,wisata alam,-5.685499,105.5295601,"Parkir, Toilet, Mushola, Restoran",4.7,https://gatsu90rentcar.com/wp-content/uploads/2023/02/Pantai-Cemara-Kalianda-Biaya-Tiket-Masuk-Wisata-Lokasi-dan-Fasilitas.webp
45,PANTAI KEDU,Lampung Selatan,wisata alam,-5.721824,105.5810128,"Parkir, Toilet, Mushola, Restoran",4.4,https://asset-2.tstatic.net/lampung/foto/bank/images/Pantai-Kedu-Warna-Tempat-Wisata-di-Lampung.jpg
46,PANTAI KEDU WARNA,Lampung Selatan,wisata alam,-5.718520,105.5770437,"Parkir, Toilet, Mushola, Restoran",4.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS3P_5XxG3zAPR9Z0uUG9x75dFwEftWcY5RjA&s
47,PANTAI MARINA,Lampung Selatan,wisata alam,-5.681575,105.5155867,"Parkir, Toilet, Mushola, Restoran",4.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRCik0M-cg3lH0ZIR-9e1K3m6v5AFbhFydsUw&s
48,PANTAI MINANG RUA,Lampung Selatan,wisata alam,-5.856575,105.7142964,"Parkir, Toilet, Mushola, Restoran",4.3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTUo1nrIwAsGTm5JUbuUraV-PHo6pOYt5e5jA&s
49,PANTAI PELANGI INDAH,Lampung Selatan,wisata alam,-5.721321,105.5801278,"Parkir, Toilet, Mushola, Restoran",4.5,https://pantaiindahpelangi.wisatapantailampungtimur.com/wp-content/uploads/2024/09/gerbang-pelangi-indah-450x450.jpg
50,PANTAI SEMUKUK INDAH,Lampung Selatan,wisata alam,-5.761308,105.5832179,"Parkir, Toilet, Mushola, Restoran",4.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSC8c6KZ7wgcgdLeF5-yS9YUF_tws0eE_eG8A&s
51,PANTAI SEPENAN,Lampung Selatan,wisata alam,-5.669235,105.5359681,"Parkir, Toilet, Mushola, Restoran",4.1,https://assets.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p3/22/2024/09/29/1234-965464342.jpg
52,Pantai Serambi Krakatau,Lampung Selatan,wisata alam,-5.835454,105.6444595,"Parkir, Toilet, Mushola, Restoran",4.6,https://sisparnas.com/imgdata/677000.jpg
53,PANTAI SETEGI HENI,Lampung Selatan,wisata alam,-5.789609,105.5812985,"Parkir, Toilet, Mushola, Restoran",4.7,https://www.pariwisatalamsel.com/assets/uploads/berita/20250409225457_pesona-pantai-setigi-heni.jpg
54,PANTAI TITIAN MUTIARA,Lampung Selatan,wisata alam,-5.781080, 105.5806822,"Parkir, Toilet, Mushola, Restoran",4.6,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcyS-B4M-muhtKe-bIz_anI-l5SMUYJslPAA&s
